 it |          δμ |              δocc orb |    δimp occ |       δGimp |         δG0 |          δΣ 
  1 | 0.00000e+00 |            1.29292e-02 | 1.29292e-02 | 2.92841e-01 | 2.71625e-01 | 1.65050e+00
  2 | 8.43537e-02 |            1.11542e-02 | 1.11542e-02 | 5.69672e-02 | 1.27680e-02 | 6.80334e-01
  3 | 9.79974e-03 |            1.11118e-03 | 1.11118e-03 | 2.44734e-02 | 5.46310e-03 | 6.41489e-01
  4 | 1.33481e-02 |            2.10490e-03 | 2.10490e-03 | 1.16062e-02 | 2.84830e-03 | 6.01244e-01
  5 | 4.04156e-03 |            2.52358e-04 | 2.52358e-04 | 5.30174e-03 | 1.38232e-03 | 4.34305e-01
  6 | 2.83772e-03 |            6.60682e-04 | 6.60682e-04 | 2.31627e-03 | 6.67653e-04 | 2.41655e-01
  7 | 0.00000e+00 |            2.60798e-04 | 2.60798e-04 | 1.27757e-03 | 2.73214e-04 | 1.44927e-01
  8 | 9.92196e-04 |            4.26792e-04 | 4.26792e-04 | 6.84541e-04 | 1.65929e-04 | 6.80100e-02
  9 | 3.22404e-03 |            5.49471e-06 | 5.49471e-06 | 4.18114e-04 | 2.52367e-04 | 3.44464e-02
 10 | 2.93937e-03 |            4.14256e-05 | 4.14256e-05 | 2.86683e-04 | 2.45777e-04 | 3.22292e-02
