 it |         mu | G(beta/2) per orbital |  orbital occs up+down |      impurity occ
  0 |   12.79717 |              -0.32562 |               0.99991 |           0.99991
  1 |   12.79717 |              -0.09197 |               0.98699 |           0.98699
  2 |   12.88153 |              -0.04956 |               0.99814 |           0.99814
  3 |   12.89133 |              -0.02594 |               0.99703 |           0.99703
  4 |   12.90468 |              -0.01621 |               0.99913 |           0.99913
  5 |   12.90872 |              -0.00930 |               0.99939 |           0.99939
  6 |   12.91156 |              -0.00421 |               1.00005 |           1.00005
  7 |   12.91156 |              -0.00202 |               0.99979 |           0.99979
  8 |   12.91255 |              -0.00367 |               0.99936 |           0.99936
  9 |   12.91577 |              -0.00284 |               0.99936 |           0.99936
 10 |   12.91871 |              -0.00353 |               0.99932 |           0.99932
