 it |          δμ |              δocc orb |    δimp occ |       δGimp |         δG0 |          δΣ 
  1 | 0.00000e+00 |            8.56648e-05 | 8.56648e-05 | 3.63122e-01 | 3.11669e-01 | 3.11636e+00
  2 | 2.36758e-03 |            1.67677e-09 | 1.67677e-09 | 7.90861e-03 | 4.12495e-02 | 2.01363e-02
  3 | 2.36738e-03 |            1.68695e-09 | 1.68695e-09 | 7.91076e-03 | 3.65775e-04 | 2.00477e-02
  4 | 2.36718e-03 |            1.69753e-09 | 1.69753e-09 | 7.91295e-03 | 3.66688e-04 | 1.99578e-02
  5 | 2.36698e-03 |            1.70837e-09 | 1.70837e-09 | 7.91518e-03 | 3.67605e-04 | 1.98667e-02
