 it |         mu | G(beta/2) per orbital |  orbital occs up+down |      impurity occ
  0 |   12.79717 |              -0.32562 |               0.99991 |           0.99991
  1 |   12.79717 |              -0.00028 |               1.00000 |           1.00000
  2 |   12.79481 |              -0.00028 |               1.00000 |           1.00000
  3 |   12.79244 |              -0.00028 |               1.00000 |           1.00000
  4 |   12.79007 |              -0.00028 |               1.00000 |           1.00000
  5 |   12.78771 |              -0.00028 |               1.00000 |           1.00000
