 it |         mu | G(beta/2) per orbital |  orbital occs up+down |      impurity occ
  0 |   12.79717 |              -0.32562 |               0.99991 |           0.99991
  1 |   12.79717 |              -0.14981 |               0.98807 |           0.98807
  2 |   12.86777 |              -0.12728 |               0.99207 |           0.99207
  3 |   12.89134 |              -0.11719 |               0.99775 |           0.99775
  4 |   12.89788 |              -0.11063 |               0.99678 |           0.99678
  5 |   12.90672 |              -0.10749 |               0.99894 |           0.99894
  6 |   12.90939 |              -0.10648 |               0.99783 |           0.99783
  7 |   12.91505 |              -0.10431 |               0.99636 |           0.99636
  8 |   12.92424 |              -0.10370 |               1.00087 |           1.00087
  9 |   12.92160 |              -0.10397 |               1.00069 |           1.00069
